Activity,time,seconds_elapsed,z,y,x
Classroom,1.78E+18,0.946102295,0.242358208,0.013300121,-0.005550161
Classroom,1.78E+18,3.038660645,0.204751015,0.065122604,-0.118784815
Classroom,1.78E+18,5.131249756,0.174827576,-0.033300936,-0.094845504
Classroom,1.78E+18,7.224018066,0.231381416,0.01663965,0.003956497
Classroom,1.78E+18,9.316515381,-5.490058899,0.718324184,-0.715737343
Classroom,1.78E+18,11.40898193,0.176453114,-2.09929657,2.13626647
Classroom,1.78E+18,13.50144873,0.101089001,0.12452364,-0.018688917
Classroom,1.78E+18,15.59348779,0.086513519,0.133275986,-0.023509979
Classroom,1.78E+18,17.68522217,0.084815025,0.123121262,-0.040054798
Classroom,1.78E+18,19.77736255,0.096884727,0.131652355,-0.048319101
Classroom,1.78E+18,21.86958301,0.093720436,0.11841011,-0.04720664
Classroom,1.78E+18,23.96162036,0.096086025,0.104240894,-0.0443964
Classroom,1.78E+18,26.05326147,0.083756447,0.097457409,-0.030890226
Classroom,1.78E+18,28.14520752,0.13877821,0.063976765,0.006909132
Classroom,1.78E+18,30.23709229,0.084753513,0.157969952,-0.062824488
Classroom,1.78E+18,32.32897729,0.078839302,0.126217842,-0.051369429
Classroom,1.78E+18,34.42089282,0.087214947,0.127671242,-0.050367117
Classroom,1.78E+18,36.51268628,0.08935976,0.113322735,-0.055518389
Classroom,1.78E+18,38.60472388,0.080397129,0.118405342,-0.048162937
Classroom,1.78E+18,40.69679199,0.077397346,0.119087219,-0.04514432
Classroom,1.78E+18,42.78873804,0.101719379,0.126394272,-0.036605597
Classroom,1.78E+18,44.88040967,0.097940922,0.11593771,-0.049004316
Classroom,1.78E+18,46.97180615,0.095087528,0.113599777,-0.042236328
Classroom,1.78E+18,49.06378076,0.093223572,0.121743202,-0.067819357
Classroom,1.78E+18,51.15600073,0.074513435,0.11047411,-0.059773684
Classroom,1.78E+18,53.24834277,0.081306934,0.117753029,-0.058016777
Classroom,1.78E+18,55.34044043,0.111584187,0.078223228,-0.019114494
Classroom,1.78E+18,57.43244678,0.076869488,0.139171124,-0.060332537
Classroom,1.78E+18,59.52484961,0.086889744,0.133659363,-0.045441389
Classroom,1.78E+18,61.6171001,0.080665588,0.12780571,-0.060511112
Classroom,1.78E+18,63.70935034,0.095827103,0.097071648,-0.020606279
Classroom,1.78E+18,65.80147876,0.090270519,0.1156106,-0.060585499
Classroom,1.78E+18,67.89354565,0.078599453,0.118792534,-0.039089918
Classroom,1.78E+18,69.98555225,0.109941483,0.125605583,-0.048940897
Classroom,1.78E+18,72.07708521,0.075911045,0.126868725,-0.057886362
Classroom,1.78E+18,74.1690293,0.089222431,0.130382061,-0.052412033
Classroom,1.78E+18,76.26094312,0.085783482,0.120443344,-0.059752226
Classroom,1.78E+18,78.35307056,0.09005022,0.126078129,-0.057964087
Classroom,1.78E+18,80.44486255,0.085048199,0.124663353,-0.050563097
Classroom,1.78E+18,82.53727246,0.080327511,0.123044491,-0.047976732
Classroom,1.78E+18,84.62952148,0.081398964,0.11603117,-0.052351713
Classroom,1.78E+18,86.72137329,0.095781803,0.116974831,-0.035064936
Classroom,1.78E+18,88.81343872,0.097651005,0.118186951,-0.053511143
Classroom,1.78E+18,90.90587061,0.087710857,0.129907608,-0.052088976
Classroom,1.78E+18,92.99830225,0.097313404,0.133632183,-0.048256397
