Activity,time,seconds_elapsed,z,y,x
Cassroom,1.77575E+18,0.642334961,0.48203218,-0.001597897,0.001597897
Cassroom,1.77575E+18,2.636322998,0.00958738,-0.005326322,-0.002130529
Cassroom,1.77575E+18,4.648285645,-0.217846587,0,0.001597897
Cassroom,1.77575E+18,6.660794434,0.000532632,0.002130529,-0.000532632
Cassroom,1.77575E+18,8.672512695,-1.31134057,-3.096723795,-1.9718045
Cassroom,1.77575E+18,10.68468896,0.10546118,0.043675844,-0.123570681
Cassroom,1.77575E+18,12.69674292,-0.01917476,-0.001065264,0.000532632
Cassroom,1.77575E+18,14.70846143,0.000532632,0.001065264,0.003195793
Cassroom,1.77575E+18,16.71981348,-0.000532632,-0.001065264,0.001597897
Cassroom,1.77575E+18,18.7313894,-0.000532632,0.001065264,-0.002130529
Cassroom,1.77575E+18,20.74307544,-0.000532632,-0.001597897,-0.000532632
Cassroom,1.77575E+18,22.75467017,0,0,-0.000532632
Cassroom,1.77575E+18,24.76617285,0.002130529,0,-0.001597897
Cassroom,1.77575E+18,26.77730981,-0.000532632,0.001065264,0.002130529
Cassroom,1.77575E+18,28.78884326,-0.001597897,-0.000532632,0
Cassroom,1.77575E+18,30.80025464,-0.000532632,0,0.000532632
Cassroom,1.77575E+18,32.81175781,0,-0.001065264,-0.000532632
Cassroom,1.77575E+18,34.82310815,0,0,-0.000532632
Cassroom,1.77575E+18,36.83448901,0.000532632,0.001065264,0
Cassroom,1.77575E+18,38.8460835,0.000532632,-0.001597897,-0.000532632
Cassroom,1.77575E+18,40.85773926,0.001065264,0,0.001065264
Cassroom,1.77575E+18,42.86918115,0.001065264,0.000532632,-0.000532632
Cassroom,1.77575E+18,44.88040967,0.001597897,-0.000532632,-0.002663161
Cassroom,1.77575E+18,46.89133252,0.001065264,0.000532632,-0.000532632
Cassroom,1.77575E+18,48.90295776,-0.000532632,0.001597897,0
Cassroom,1.77575E+18,50.91458032,0,-0.001065264,-0.001065264
Cassroom,1.77575E+18,52.926479,0.001065264,0.002663161,0.001597897
Cassroom,1.77575E+18,54.93810327,0.000532632,0.001065264,0.000532632
Cassroom,1.77575E+18,56.94960571,0.001065264,-0.000532632,-0.001065264
Cassroom,1.77575E+18,58.96150439,0.001597897,-0.000532632,-0.001597897
Cassroom,1.77575E+18,60.97337305,0,-0.000532632,-0.000532632
Cassroom,1.77575E+18,62.98505811,-0.001597897,0.002663161,0.001597897
Cassroom,1.77575E+18,64.99680444,-0.000532632,-0.001065264,-0.001597897
Cassroom,1.77575E+18,67.00848975,0.001065264,0,-0.001065264
Cassroom,1.77575E+18,69.02011401,0.000532632,0.000532632,0.000532632
Cassroom,1.77575E+18,71.03137207,-0.000532632,-0.000532632,-0.000532632
Cassroom,1.77575E+18,73.04261426,0.002130529,0,0
Cassroom,1.77575E+18,75.05408521,0,0.000532632,-0.002130529
Cassroom,1.77575E+18,77.06558643,-0.000532632,-0.001065264,0.000532632
Cassroom,1.77575E+18,79.07720996,0,0.002130529,0.000532632
Cassroom,1.77575E+18,81.08858936,0,0,-0.001065264
Cassroom,1.77575E+18,83.10061719,0.001065264,0.001065264,0.001065264
Cassroom,1.77575E+18,85.11220947,0.000532632,-0.000532632,-0.000532632
Cassroom,1.77575E+18,87.12364893,-0.000532632,-0.000532632,-0.000532632
Cassroom,1.77575E+18,89.13533252,0.001065264,-0.001065264,0.000532632
Cassroom,1.77575E+18,91.14732129,-0.001065264,0,0
Cassroom,1.77575E+18,93.15931274,0,-0.000532632,-0.001065264
Cassroom,1.77575E+18,95.17078296,-0.000532632,0,0
Cassroom,1.77575E+18,97.18246655,0.006391587,-0.009054748,-0.011717909
Cassroom,1.77575E+18,99.19393652,-0.002663161,0.003728426,0.006924219
Cassroom,1.77575E+18,101.2052849,-0.000532632,0.000532632,0.000532632
Cassroom,1.77575E+18,103.2166938,0.001065264,0,0.000532632
Cassroom,1.77575E+18,105.2280154,0.000532632,0,-0.001065264
Cassroom,1.77575E+18,107.2395151,-0.000532632,0,-0.001597897
Cassroom,1.77575E+18,109.25074,0,-0.001597897,-0.000532632
Cassroom,1.77575E+18,111.2619651,-0.000532632,0,0.000532632
Cassroom,1.77575E+18,113.2730984,0.000532632,-0.001065264,0.000532632
Cassroom,1.77575E+18,115.2843965,0.001065264,0.001065264,-0.000532632
Cassroom,1.77575E+18,117.2957744,0,0,0.001065264
Cassroom,1.77575E+18,119.3070916,0.001065264,0,-0.000532632
Cassroom,1.77575E+18,121.3185,0.000532632,-0.000532632,0
Cassroom,1.77575E+18,123.3303665,0,0.000532632,0.000532632
Cassroom,1.77575E+18,125.3422327,0.001065264,-0.000532632,0
Cassroom,1.77575E+18,127.3540254,0.001065264,0,-0.001065264
Cassroom,1.77575E+18,129.3656482,0.000532632,0.002663161,-0.000532632
