Activity,time,seconds_elapsed,dBFS
Classroom,1.78E+18,0.004,-160
Classroom,1.78E+18,0.004,-160
Classroom,1.78E+18,0.005,-160
Classroom,1.78E+18,0.005,-160
Classroom,1.78E+18,0.079,-160
Classroom,1.78E+18,0.173,-160
Classroom,1.78E+18,0.272,-160
Classroom,1.78E+18,0.381,-160
Classroom,1.78E+18,0.489999756,-51.41908018
Classroom,1.78E+18,0.599,-44.64270905
Classroom,1.78E+18,0.699,-32.21442272
Classroom,1.78E+18,0.808,-33.99717866
Classroom,1.78E+18,0.915,-31.05188
Classroom,1.78E+18,1.024,-33.55696486
Classroom,1.78E+18,1.124,-32.69246178
Classroom,1.78E+18,1.233,-37.16761657
Classroom,1.78E+18,1.341,-33.06610604
Classroom,1.78E+18,1.449999756,-34.22594498
Classroom,1.78E+18,1.551,-35.16081305
Classroom,1.78E+18,1.659,-32.38923898
Classroom,1.78E+18,1.767,-36.5581544
Classroom,1.78E+18,1.876,-36.22572329
Classroom,1.78E+18,1.976,-36.73836604
Classroom,1.78E+18,2.085,-37.94777169
Classroom,1.78E+18,2.185,-34.7168038
Classroom,1.78E+18,2.294000244,-37.51900384
Classroom,1.78E+18,2.401999756,-36.45179524
Classroom,1.78E+18,2.511,-39.96481566
Classroom,1.78E+18,2.62,-44.7336616
Classroom,1.78E+18,2.729,-45.44797265
Classroom,1.78E+18,2.829,-44.20170623
Classroom,1.78E+18,2.937999756,-43.9058079
Classroom,1.78E+18,3.045,-44.03138922
Classroom,1.78E+18,3.153,-43.22656484
Classroom,1.78E+18,3.291,-34.77470994
Classroom,1.78E+18,3.379,-34.99536253
Classroom,1.78E+18,3.487,-34.81839431
Classroom,1.78E+18,3.596,-33.68413975
Classroom,1.78E+18,3.705,-30.9577741
Classroom,1.78E+18,3.813,-28.26005951
Classroom,1.78E+18,3.921999756,-30.84617655
Classroom,1.78E+18,4.022000244,-41.365573
Classroom,1.78E+18,4.131,-41.21183642
Classroom,1.78E+18,4.239,-38.5097416
Classroom,1.78E+18,4.348,-37.20596493
