Activity,time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
Classroom,1.77575E+18,0.946102295,0.1487443,0.015392335,0.025402449,0.988429606,0.022907959,-0.05482357,-0.298101336
Classroom,1.77575E+18,3.038660645,0.927881122,0.034016777,-0.002225164,0.371314585,0.029451177,-0.061513364,-2.379372597
Classroom,1.77575E+18,5.131249756,0.926567495,0.033088595,0.002525701,0.374661922,0.020155275,-0.063252375,-2.372445583
Classroom,1.77575E+18,7.224018066,0.918877661,0.032479946,-0.00013691,0.393203646,0.025842858,-0.059617836,-2.33214426
Classroom,1.77575E+18,9.316515381,0.508915126,-0.395187229,0.318605721,0.695214272,-1.064389586,-0.040776286,-1.287810802
Classroom,1.77575E+18,11.40898193,-0.405048668,0.449118018,-0.747662067,0.274281055,-2.538212538,0.885084331,-2.352557898
Classroom,1.77575E+18,13.50144873,-0.333863705,0.326569498,-0.814717889,0.343689114,-2.607947826,0.891601443,-2.638916731
Classroom,1.77575E+18,15.59348779,-0.332207501,0.318188697,-0.817423761,0.346717,-2.602327108,0.891856253,-2.661874294
Classroom,1.77575E+18,17.68522217,-0.33226192,0.317106515,-0.817865849,0.346613556,-2.600748539,0.890985429,-2.665046215
Classroom,1.77575E+18,19.77736255,-0.332344145,0.317017287,-0.818052769,0.346175104,-2.600341082,0.890039623,-2.665279388
Classroom,1.77575E+18,21.86958301,-0.331940323,0.315526098,-0.818679631,0.346442759,-2.599634171,0.889445961,-2.669123173
Classroom,1.77575E+18,23.96162036,-0.332317203,0.316459537,-0.818318367,0.346083522,-2.599689484,0.88947767,-2.666824341
Classroom,1.77575E+18,26.05326147,-0.332913131,0.3161304,-0.818061471,0.346418917,-2.597542286,0.890318036,-2.668679237
Classroom,1.77575E+18,28.14520752,-0.332214028,0.316210002,-0.818476856,0.346035749,-2.599666119,0.889160872,-2.667390585
Classroom,1.77575E+18,30.23709229,-0.33336705,0.315819412,-0.818063438,0.346261144,-2.595784426,0.890036583,-2.670135736
Classroom,1.77575E+18,32.32897729,-0.333392084,0.314296007,-0.818316579,0.347024262,-2.593816519,0.89071095,-2.674809456
Classroom,1.77575E+18,34.42089282,-0.332568407,0.312367439,-0.819240868,0.347375125,-2.593797684,0.889782548,-2.679367065
Classroom,1.77575E+18,36.51268628,-0.332575113,0.312326819,-0.819248557,0.347386807,-2.593726397,0.889785171,-2.679496765
Classroom,1.77575E+18,38.60472388,-0.332930714,0.312801778,-0.819011927,0.34717682,-2.59326911,0.889832914,-2.678539276
Classroom,1.77575E+18,40.69679199,-0.333745509,0.31474942,-0.818246543,0.34643814,-2.593304157,0.889943302,-2.67378521
Classroom,1.77575E+18,42.78873804,-0.334346056,0.316852033,-0.817670465,0.345300496,-2.594129562,0.889188111,-2.668164968
Classroom,1.77575E+18,44.88040967,-0.334716976,0.317756802,-0.817350805,0.344866365,-2.59415555,0.889045775,-2.665916204
