Activity,time,seconds_elapsed,z,y,x
Classroom,1.78E+18,0.785216064,10.06282997,1.22583127,-0.292092621
Classroom,1.78E+18,2.877774414,10.03409958,0.486022949,-0.222660765
Classroom,1.78E+18,4.970241211,10.02452278,0.598550439,-0.265756398
Classroom,1.78E+18,7.063101318,10.02931118,0.63206923,-0.244208574
Classroom,1.78E+18,9.155537598,7.726089001,2.173935175,7.287950039
Classroom,1.78E+18,11.24800415,-3.974374771,-5.018246651,3.79241538
Classroom,1.78E+18,13.34050122,-5.202600479,-7.508216381,3.110068083
Classroom,1.78E+18,15.43260181,-5.195417881,-7.505822182,3.131615877
Classroom,1.78E+18,17.52430542,-5.219359875,-7.501033783,3.143586874
Classroom,1.78E+18,19.61647632,-5.202600479,-7.503427982,3.141192675
Classroom,1.78E+18,21.70863599,-5.193023682,-7.496245384,3.153163671
Classroom,1.78E+18,23.8007041,-5.19781208,-7.484274387,3.131615877
Classroom,1.78E+18,25.89240601,-5.171475887,-7.517793179,3.155557871
Classroom,1.78E+18,27.98426025,-5.255272865,-7.405265808,3.038241863
Classroom,1.78E+18,30.07617578,-5.195417881,-7.486668587,3.134010077
Classroom,1.78E+18,32.16806104,-5.173870087,-7.522581577,3.165134668
Classroom,1.78E+18,34.25997656,-5.19781208,-7.477091789,3.138798475
Classroom,1.78E+18,36.35176978,-5.173870087,-7.501033783,3.169923067
Classroom,1.78E+18,38.4437771,-5.188235283,-7.491456985,3.167528868
Classroom,1.78E+18,40.53584521,-5.185841084,-7.505822182,3.172317266
Classroom,1.78E+18,42.62785205,-5.188235283,-7.498639584,3.167528868
Classroom,1.78E+18,44.71955396,-5.181052685,-7.505822182,3.169923067
Classroom,1.78E+18,46.81085889,-5.178658485,-7.503427982,3.179499865
Classroom,1.78E+18,48.90295776,-5.195417881,-7.508216381,3.189076662
Classroom,1.78E+18,50.99505371,-5.181052685,-7.484274387,3.15795207
Classroom,1.78E+18,53.08739551,-5.181052685,-7.496245384,3.169923067
Classroom,1.78E+18,55.17949341,-5.16189909,-7.508216381,3.201047659
Classroom,1.78E+18,57.27149951,-5.190629482,-7.491456985,3.174711466
Classroom,1.78E+18,59.36390234,-5.181052685,-7.498639584,3.172317266
Classroom,1.78E+18,61.45615283,-5.169081688,-7.51061058,3.162740469
Classroom,1.78E+18,63.54840332,-5.176264286,-7.491456985,3.19625926
Classroom,1.78E+18,65.64053149,-5.183446884,-7.491456985,3.172317266
Classroom,1.78E+18,67.73262915,-5.173870087,-7.486668587,3.177105665
Classroom,1.78E+18,69.82463574,-5.171475887,-7.484274387,3.167528868
Classroom,1.78E+18,71.9161687,-5.176264286,-7.486668587,3.179499865
Classroom,1.78E+18,74.00811279,-5.178658485,-7.489062786,3.184288263
Classroom,1.78E+18,76.10002686,-5.185841084,-7.493851185,3.177105665
Classroom,1.78E+18,78.19212354,-5.171475887,-7.484274387,3.172317266
Classroom,1.78E+18,80.28394604,-5.164293289,-7.503427982,3.181894064
Classroom,1.78E+18,82.37632593,-5.188235283,-7.505822182,3.181894064
Classroom,1.78E+18,84.46860498,-5.183446884,-7.491456985,3.174711466
Classroom,1.78E+18,86.56045703,-5.178658485,-7.491456985,3.177105665
Classroom,1.78E+18,88.6524917,-5.166687489,-7.498639584,3.189076662
Classroom,1.78E+18,90.74492358,-5.169081688,-7.496245384,3.172317266
Classroom,1.78E+18,92.83735547,-5.178658485,-7.505822182,3.181894064
Classroom,1.78E+18,94.92939307,-5.178658485,-7.508216381,3.167528868
Classroom,1.78E+18,97.02158081,-5.166687489,-7.503427982,3.186682463
Classroom,1.78E+18,99.11346338,-5.176264286,-7.484274387,3.15795207
Classroom,1.78E+18,101.2052849,-5.178658485,-7.503427982,3.167528868
Classroom,1.78E+18,103.297137,-5.181052685,-7.486668587,3.177105665
Classroom,1.78E+18,105.3889011,-5.173870087,-7.503427982,3.181894064
Classroom,1.78E+18,107.4808743,-5.171475887,-7.503427982,3.184288263
Classroom,1.78E+18,109.5725422,-5.185841084,-7.498639584,3.184288263
Classroom,1.78E+18,111.6641489,-5.169081688,-7.491456985,3.189076662
Classroom,1.78E+18,113.7558169,-5.169081688,-7.491456985,3.181894064
Classroom,1.78E+18,115.8475884,-5.185841084,-7.496245384,3.179499865
Classroom,1.78E+18,117.9394094,-5.173870087,-7.493851185,3.167528868
Classroom,1.78E+18,120.0311997,-5.169081688,-7.496245384,3.179499865
Classroom,1.78E+18,122.1231733,-5.178658485,-7.491456985,3.186682463
Classroom,1.78E+18,124.2156658,-5.19781208,-7.489062786,3.186682463
Classroom,1.78E+18,126.3078833,-5.183446884,-7.496245384,3.184288263
Classroom,1.78E+18,128.3999668,-5.181052685,-7.503427982,3.179499865
Classroom,1.78E+18,130.4922156,-5.183446884,-7.501033783,3.181894064
Classroom,1.78E+18,132.5843118,-5.178658485,-7.491456985,3.177105665
Classroom,1.78E+18,134.6762249,-5.173870087,-7.489062786,3.177105665
Classroom,1.78E+18,136.7681379,-5.178658485,-7.493851185,3.179499865
Classroom,1.78E+18,138.8601426,-5.178658485,-7.484274387,3.184288263
Classroom,1.78E+18,140.9519641,-5.178658485,-7.503427982,3.193865061
Classroom,1.78E+18,143.0441213,-5.185841084,-7.493851185,3.191470861
Classroom,1.78E+18,145.136584,-5.173870087,-7.498639584,3.191470861
Classroom,1.78E+18,147.2288633,-5.171475887,-7.498639584,3.184288263
Classroom,1.78E+18,149.3209058,-5.176264286,-7.484274387,3.19625926
Classroom,1.78E+18,151.4129404,-5.173870087,-7.481880188,3.181894064
Classroom,1.78E+18,153.5053718,-5.169081688,-7.505822182,3.193865061
Classroom,1.78E+18,155.5979558,-5.176264286,-7.481880188,3.186682463
Classroom,1.78E+18,157.6902959,-5.176264286,-7.484274387,3.181894064
Classroom,1.78E+18,159.7826968,-5.178658485,-7.496245384,3.179499865
Classroom,1.78E+18,161.8750061,-5.188235283,-7.505822182,3.186682463
Classroom,1.78E+18,163.9673462,-5.181052685,-7.503427982,3.177105665
Classroom,1.78E+18,166.0592893,-5.171475887,-7.505822182,3.174711466
Classroom,1.78E+18,168.151324,-5.173870087,-7.479485989,3.19865346
Classroom,1.78E+18,170.2437178,-5.183446884,-7.493851185,3.205836058
Classroom,1.78E+18,172.3361792,-5.171475887,-7.493851185,3.186682463
Classroom,1.78E+18,174.4287319,-5.16189909,-7.496245384,3.184288263
Classroom,1.78E+18,176.5213762,-5.173870087,-7.493851185,3.184288263
Classroom,1.78E+18,178.6137766,-5.169081688,-7.498639584,3.189076662
Classroom,1.78E+18,180.7064209,-5.171475887,-7.491456985,3.186682463
Classroom,1.78E+18,182.7977988,-5.171475887,-7.503427982,3.186682463
Classroom,1.78E+18,184.8899556,-5.171475887,-7.501033783,3.186682463
Classroom,1.78E+18,186.9822036,-5.166687489,-7.491456985,3.186682463
