Activity,time,seconds_elapsed,level,frequency,capabilities,BSSID,SSID
Classroom,1.78E+18,-0.001,-75,5240,[WPA2-PSK-CCMP-128][RSN-PSK+FT/PSK+SAE+FT/SAE-CCMP-128][ESS][MFPC],1c:28:af:2e:36:54,tuiot
Classroom,1.78E+18,-0.001,-60,5600,[WPA2-PSK-CCMP-128][RSN-PSK+FT/PSK+SAE+FT/SAE-CCMP-128][ESS][MFPC],9c:8c:d8:7e:e5:e4,tuiot
Classroom,1.78E+18,-0.001,-73,5240,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],1c:28:af:2e:36:51,tusecurewireless
Classroom,1.78E+18,-0.001,-75,5240,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],1c:28:af:2e:36:50,eduroam
Classroom,1.78E+18,-0.001,-77,5640,[WPA2-PSK-CCMP-128][RSN-PSK+FT/PSK+SAE+FT/SAE-CCMP-128][ESS][MFPC],1c:28:af:2e:78:14,tuiot
Classroom,1.78E+18,-0.001,-60,5600,[RSN-OWE_TRANSITION-CCMP-128][ESS],9c:8c:d8:7e:e5:e2,tuguestwireless
Classroom,1.78E+18,-0.001,-70,5280,[WPA2-PSK-CCMP-128][RSN-PSK+FT/PSK+SAE+FT/SAE-CCMP-128][ESS][MFPC],9c:8c:d8:7e:ae:44,tuiot
Classroom,1.78E+18,-0.001,-75,5240,[RSN-OWE-CCMP-128][RSN-OWE_TRANSITION-CCMP-128][ESS][MFPR][MFPC],1c:28:af:2e:36:53,(hidden SSID)
Classroom,1.78E+18,-0.001,-60,5600,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],9c:8c:d8:7e:e5:e1,tusecurewireless
Classroom,1.78E+18,-0.001,-75,5240,[RSN-OWE_TRANSITION-CCMP-128][ESS],1c:28:af:2e:36:52,tuguestwireless
Classroom,1.78E+18,-0.001,-70,5280,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],9c:8c:d8:7e:ae:40,eduroam
Classroom,1.78E+18,-0.001,-70,5280,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],9c:8c:d8:7e:ae:41,tusecurewireless
Classroom,1.78E+18,-0.001,-70,5280,[RSN-OWE_TRANSITION-CCMP-128][ESS],9c:8c:d8:7e:ae:42,tuguestwireless
Classroom,1.78E+18,-0.001,-71,5520,[WPA2-PSK-CCMP-128][RSN-PSK+FT/PSK+SAE+FT/SAE-CCMP-128][ESS][MFPC],1c:28:af:2e:5f:74,tuiot
Classroom,1.78E+18,-0.001,-67,5640,[WPA2-PSK-CCMP-128][RSN-PSK+FT/PSK+SAE+FT/SAE-CCMP-128][ESS][MFPC],9c:8c:d8:7e:cb:74,tuiot
Classroom,1.78E+18,-0.001,-67,5640,[RSN-OWE_TRANSITION-CCMP-128][ESS],9c:8c:d8:7e:cb:72,tuguestwireless
Classroom,1.78E+18,-0.001,-67,5640,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],9c:8c:d8:7e:cb:71,tusecurewireless
Classroom,1.78E+18,-0.001,-58,5280,[WPA2-PSK-CCMP-128][RSN-PSK+FT/PSK+SAE+FT/SAE-CCMP-128][ESS][MFPC],9c:8c:d8:7e:f6:44,tuiot
Classroom,1.78E+18,-0.001,-57,5280,[RSN-OWE-CCMP-128][RSN-OWE_TRANSITION-CCMP-128][ESS][MFPR][MFPC],9c:8c:d8:7e:f6:43,(hidden SSID)
Classroom,1.78E+18,-0.001,-58,5280,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],9c:8c:d8:7e:f6:40,eduroam
Classroom,1.78E+18,-0.001,-60,5300,[WPA2-PSK-CCMP-128][RSN-PSK+FT/PSK+SAE+FT/SAE-CCMP-128][ESS][MFPC],9c:8c:d8:7e:e5:f4,tuiot
Classroom,1.78E+18,-0.001,-73,5680,[RSN-OWE_TRANSITION-CCMP-128][ESS],9c:8c:d8:7e:ae:32,tuguestwireless
Classroom,1.78E+18,-0.001,-70,5520,[RSN-OWE_TRANSITION-CCMP-128][ESS],1c:28:af:2e:5f:72,tuguestwireless
Classroom,1.78E+18,-0.001,-58,5280,[RSN-OWE_TRANSITION-CCMP-128][ESS],9c:8c:d8:7e:f6:42,tuguestwireless
Classroom,1.78E+18,-0.001,-60,5300,[RSN-OWE_TRANSITION-CCMP-128][ESS],9c:8c:d8:7e:e5:f2,tuguestwireless
Classroom,1.78E+18,-0.001,-71,5520,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],1c:28:af:2e:5f:71,tusecurewireless
Classroom,1.78E+18,-0.001,-73,5680,[WPA2-PSK-CCMP-128][RSN-PSK+FT/PSK+SAE+FT/SAE-CCMP-128][ESS][MFPC],9c:8c:d8:7e:ae:34,tuiot
Classroom,1.78E+18,-0.001,-57,5280,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],9c:8c:d8:7e:f6:41,tusecurewireless
Classroom,1.78E+18,-0.001,-60,5300,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],9c:8c:d8:7e:e5:f1,tusecurewireless
Classroom,1.78E+18,-0.001,-70,5520,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],1c:28:af:2e:5f:70,eduroam
Classroom,1.78E+18,-0.001,-59,5300,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],9c:8c:d8:7e:e5:f0,eduroam
Classroom,1.78E+18,-0.001,-77,5300,[WPA2-PSK-CCMP-128][RSN-PSK+FT/PSK+SAE+FT/SAE-CCMP-128][ESS][MFPC],9c:8c:d8:7e:de:14,tuiot
Classroom,1.78E+18,-0.001,-77,5300,[RSN-OWE-CCMP-128][RSN-OWE_TRANSITION-CCMP-128][ESS][MFPR][MFPC],9c:8c:d8:7e:de:13,(hidden SSID)
Classroom,1.78E+18,-0.001,-73,5680,[WPA2-EAP/SHA1+FT/EAP-CCMP-128][RSN-EAP/SHA1+FT/EAP-CCMP-128][ESS],9c:8c:d8:7e:ae:30,eduroam
