Activity,time,seconds_elapsed,z,y,x
Driving,1.77566E+18,0.727615479,-2.258561611,-1.344101429,1.029608011
Driving,1.77566E+18,2.820819092,-0.269292831,0.328467548,-0.020361185
Driving,1.77566E+18,4.913992432,-0.106127739,-0.850091398,0.648949862
Driving,1.77566E+18,7.007104736,0.228280067,-0.044851243,0.112059593
Driving,1.77566E+18,9.099911621,0.32550621,0.084057987,0.071343184
Driving,1.77566E+18,11.10422363,-0.098160744,-0.133956194,-0.386390686
Driving,1.77566E+18,13.12030933,-2.625386715,-0.079640523,0.406052351
Driving,1.77566E+18,15.21235229,-0.011462212,-0.102275625,0.122002602
Driving,1.77566E+18,17.30497534,1.350996017,0.504500508,0.167944431
Driving,1.77566E+18,19.31343164,0.642345428,-0.414775074,0.533988714
Driving,1.77566E+18,21.44510742,-1.187554359,0.116055727,0.061526299
Driving,1.77566E+18,23.5366897,0.261120796,-0.399994493,-0.280626774
Driving,1.77566E+18,25.62757056,1.537666321,0.158604532,0.304720879
Driving,1.77566E+18,27.71765771,-0.022114754,-0.268480927,-0.129747629
Driving,1.77566E+18,29.81061353,-1.36779213,0.134426817,-0.154310703
Driving,1.77566E+18,31.82309937,-1.944000244,-0.026459187,-0.653180599
Driving,1.77566E+18,33.83551929,0.912285805,-0.182749152,0.341712475
Driving,1.77566E+18,35.88831348,1.630540848,-0.345938712,0.392459154
Driving,1.77566E+18,37.9814209,0.838846207,0.431883574,0.109507084
Driving,1.77566E+18,39.9938772,-0.042111397,0.676375329,-0.296886206
Driving,1.77566E+18,42.00553467,-0.384676933,-0.037505265,-0.650012255
Driving,1.77566E+18,44.07731055,0.937731743,-0.177392066,-0.251208067
Driving,1.77566E+18,46.17020483,4.210074425,0.506398857,0.134722352
Driving,1.77566E+18,48.18291382,-0.055512428,-0.086295903,0.056769252
Driving,1.77566E+18,50.19551807,0.016108513,0.228073522,-0.325866342
Driving,1.77566E+18,52.25228052,0.432021141,0.055940747,0.054820657
Driving,1.77566E+18,54.34526685,0.520918846,0.013446808,-0.112365484
Driving,1.77566E+18,56.43822241,0.559351921,0.005926102,-0.083763838
Driving,1.77566E+18,58.53087305,0.004203796,-0.019581994,0.027481079
Driving,1.77566E+18,60.62388989,-0.023881912,0.037665349,-0.008642673
Driving,1.77566E+18,62.71687598,0.393671036,0.052556992,-0.062055111
Driving,1.77566E+18,64.80966602,0.003201485,0.037914939,-0.026703835
Driving,1.77566E+18,66.90249854,0.576827049,0.008930253,-0.061226845
Driving,1.77566E+18,68.99560547,0.131645203,0.020045888,-0.051464796
Driving,1.77566E+18,71.08862109,-0.009653091,-0.026699275,0.020035982
Driving,1.77566E+18,73.18145361,0.301625252,0.042153966,-0.113774061
Driving,1.77566E+18,75.27443408,0.072780609,0.038511664,-0.014169931
Driving,1.77566E+18,77.36741797,0.072872162,0.002064459,-0.002146959
Driving,1.77566E+18,79.46043237,0.016336441,-0.003897309,-0.117272139
Driving,1.77566E+18,81.55347705,0.232194901,-0.078652464,0.142193794
Driving,1.77566E+18,83.64618604,0.012869835,-0.066861197,0.009753704
Driving,1.77566E+18,85.73910767,0.475297928,0.024189681,0.068356752
Driving,1.77566E+18,87.83166406,-0.395981789,-0.038084954,0.074619055
Driving,1.77566E+18,89.92467822,0.31695652,-0.020547986,0.177830666
Driving,1.77566E+18,92.01757031,0.1668396,0.058013879,-0.056626081
Driving,1.77566E+18,94.11018799,1.116930962,0.230258703,-0.397399426
Driving,1.77566E+18,96.20311084,0.88323307,-0.002569258,-0.254094362
