Activity,time,seconds_elapsed,z,y,x
Driving,1.77566E+18,0.425739502,-0.346743584,0.034088463,0.091612741
Driving,1.77566E+18,2.438347412,-0.003195793,0.054861121,-0.013315806
Driving,1.77566E+18,4.451107666,0.001597897,-0.066579029,-0.018642128
Driving,1.77566E+18,6.463685303,0.002663161,0.022370555,0.006391587
Driving,1.77566E+18,8.476262451,-0.000532632,-0.003728426,-0.003195793
Driving,1.77566E+18,10.48844849,0.006391587,0.098536961,0.075101145
Driving,1.77566E+18,12.50065845,0.006924219,0.085753791,-0.003195793
Driving,1.77566E+18,14.51201416,-0.018642128,-0.142745435,-0.104395919
Driving,1.77566E+18,16.52446826,-0.003195793,-0.088949583,-0.037284255
Driving,1.77566E+18,18.53670898,-0.004261058,0.025566347,0.02609898
Driving,1.77566E+18,20.54744604,-0.012783173,-0.060720075,-0.053795855
Driving,1.77566E+18,22.55928735,0,0.113983296,-0.003195793
Driving,1.77566E+18,24.57015234,-0.012250541,0.064448498,-0.048469532
Driving,1.77566E+18,26.57997949,0.003195793,0.028229509,0.002663161
Driving,1.77566E+18,28.59108813,-0.006391587,-0.052197959,-0.06018744
Driving,1.77566E+18,30.60342212,-0.008522116,0.01917476,-0.011717909
Driving,1.77566E+18,32.61590308,0.00479369,0.01917476,0.007456851
Driving,1.77566E+18,34.62844531,-0.010120012,-0.003728426,-0.022370555
Driving,1.77566E+18,36.64104834,-0.007456851,-0.000532632,-0.021305289
Driving,1.77566E+18,38.65352979,0.044741109,-0.044208474,0.076699041
Driving,1.77566E+18,40.66540601,-0.002130529,0.052197959,0.013315806
Driving,1.77566E+18,42.67733813,0.002130529,0.07456851,0.031957932
Driving,1.77566E+18,44.68899561,-0.031425301,0.164583355,-0.016511599
Driving,1.77566E+18,46.7015686,0.003728426,-0.018642128,-0.015978966
Driving,1.77566E+18,48.71418652,0.019707393,0.003195793,0.03834952
Driving,1.77566E+18,50.72679077,0.001065264,-0.023968451,-0.021305289
Driving,1.77566E+18,52.73933374,-0.005858955,-0.040480047,-0.058056913
Driving,1.77566E+18,54.75175488,0.001065264,-0.001065264,-0.005858955
Driving,1.77566E+18,56.7642063,0.000532632,0.013315806,0.000532632
Driving,1.77566E+18,58.77641382,0,-0.003195793,-0.00479369
Driving,1.77566E+18,60.78892627,0.001065264,0.013315806,0.002663161
Driving,1.77566E+18,62.80137793,0,0.010652645,0
Driving,1.77566E+18,64.81369409,0.001065264,0.004261058,-0.001597897
Driving,1.77566E+18,66.82602246,0.000532632,-0.007989483,-0.006391587
Driving,1.77566E+18,68.83862549,-0.001065264,-0.009054748,-0.005858955
Driving,1.77566E+18,70.85113696,-0.001597897,-0.000532632,-0.00479369
Driving,1.77566E+18,72.86349585,-0.000532632,-0.00958738,-0.005858955
Driving,1.77566E+18,74.87594189,0.000532632,0.005326322,-0.001597897
Driving,1.77566E+18,76.88842188,-0.000532632,0.006391587,-0.002663161
Driving,1.77566E+18,78.9009624,-0.001065264,-0.007456851,-0.007989483
Driving,1.77566E+18,80.91347266,-0.017576864,-0.01917476,-0.001597897
Driving,1.77566E+18,82.92598291,-0.006391587,0.00958738,-0.001597897
Driving,1.77566E+18,84.93821851,-0.003728426,0.021837922,-0.016511599
Driving,1.77566E+18,86.95036133,0.001597897,0.004261058,-0.000532632
Driving,1.77566E+18,88.96271875,-0.001065264,-0.055926383,-0.006924219
Driving,1.77566E+18,90.97513745,0.002130529,0.023968451,0.003195793
Driving,1.77566E+18,92.98764771,0.001065264,-0.00479369,-0.002663161
Driving,1.77566E+18,94.99963892,0,-0.018109497,0.003728426
Driving,1.77566E+18,97.01208643,0.03834952,-0.022370555,-0.031425301
Driving,1.77566E+18,99.02426001,-0.011717909,0.06178534,-0.027696876
Driving,1.77566E+18,101.0366772,-0.085753791,-0.031425301,0.051132694
Driving,1.77566E+18,103.0490642,-0.093743272,0.012250541,0.017576864
Driving,1.77566E+18,105.0615122,-0.012250541,0.105993815,0.058589544
Driving,1.77566E+18,107.0740212,-0.008522116,0.054328486,-0.039414786
Driving,1.77566E+18,109.0864714,0.004261058,0.005326322,-0.017044231
Driving,1.77566E+18,111.0990732,0,0.016511599,-0.001065264
Driving,1.77566E+18,113.1115225,0.017044231,0.042610578,0.033023197
Driving,1.77566E+18,115.1241067,0,0.013848438,-0.017044231
Driving,1.77566E+18,117.1365547,-0.007456851,-0.066046394,-0.022370555
Driving,1.77566E+18,119.1490637,0.017576864,-0.061252706,0.026631612
Driving,1.77566E+18,121.161573,-0.039947417,-0.018109497,0.017576864
Driving,1.77566E+18,123.1741387,-0.231162384,0.056991648,0.124635942
Driving,1.77566E+18,125.1866477,-0.262587696,-0.005858955,0.100134857
Driving,1.77566E+18,127.1987598,-0.038882151,-0.013848438,-0.026631612
Driving,1.77566E+18,129.2113298,0.005326322,0.01917476,-0.013315806
Driving,1.77566E+18,131.2238052,0.033023197,-0.069242187,-0.018642128
Driving,1.77566E+18,133.2362832,-0.010120012,0.020772656,0.013315806
Driving,1.77566E+18,135.248792,-0.003195793,0.035153728,0.015446335
Driving,1.77566E+18,137.2612703,0.064448498,0.078829572,0.002130529
Driving,1.77566E+18,139.2737788,0.055926383,0.018642128,-0.190682337
Driving,1.77566E+18,141.2863486,0.01917476,0.075633779,0.064448498
Driving,1.77566E+18,143.2989185,-0.011717909,-0.007989483,0.005858955
Driving,1.77566E+18,145.311488,0.006391587,-0.030360037,0.008522116
Driving,1.77566E+18,147.3240276,0.021837922,-0.183225483,0.007989483
Driving,1.77566E+18,149.3365667,0.040480047,-0.012783173,0.031957932
Driving,1.77566E+18,151.3491365,0.050067428,-0.056459017,-0.047936901
Driving,1.77566E+18,153.3617451,0.056991648,0.012783173,-0.000532632
Driving,1.77566E+18,155.3741929,-0.012783173,0.031425301,0.013848438
Driving,1.77566E+18,157.3865796,-0.005858955,0.070307456,0.017044231
Driving,1.77566E+18,159.3989055,0.001597897,-0.086286418,-0.14647387
Driving,1.77566E+18,161.4113228,0.033023197,0.010652645,-0.022370555
Driving,1.77566E+18,163.423801,0.020772656,0.058589544,0.039414786
