Activity,time,seconds_elapsed,dBFS
Driving,1.77566E+18,0.003,-160
Driving,1.77566E+18,0.078,-160
Driving,1.77566E+18,0.181,-160
Driving,1.77566E+18,0.291,-160
Driving,1.77566E+18,0.399,-160
Driving,1.77566E+18,0.499999756,-33.56959888
Driving,1.77566E+18,0.609,-26.40181246
Driving,1.77566E+18,0.715999756,-22.39521792
Driving,1.77566E+18,0.824000244,-20.02575093
Driving,1.77566E+18,0.935,-22.54315635
Driving,1.77566E+18,1.042,-20.56313729
Driving,1.77566E+18,1.15,-22.16431576
Driving,1.77566E+18,1.259,-22.40220576
Driving,1.77566E+18,1.359,-20.0710664
Driving,1.77566E+18,1.467,-15.88241601
Driving,1.77566E+18,1.576000244,-17.29675566
Driving,1.77566E+18,1.683999756,-12.8866196
Driving,1.77566E+18,1.785,-0.800249726
Driving,1.77566E+18,1.894,-14.76309779
Driving,1.77566E+18,2.002,-19.01777939
Driving,1.77566E+18,2.11,-22.47591955
Driving,1.77566E+18,2.219,-20.1597124
Driving,1.77566E+18,2.328000244,-19.78453355
Driving,1.77566E+18,2.427999756,-21.96927017
Driving,1.77566E+18,2.536000244,-20.095153
Driving,1.77566E+18,2.646,-19.34340272
Driving,1.77566E+18,2.745,-18.38119074
Driving,1.77566E+18,2.854,-17.89352382
Driving,1.77566E+18,2.963999756,-22.20180642
Driving,1.77566E+18,3.07,-21.09378279
Driving,1.77566E+18,3.179,-19.40011703
Driving,1.77566E+18,3.288000244,-18.69023411
Driving,1.77566E+18,3.387,-18.22421256
Driving,1.77566E+18,3.496000244,-17.86652642
Driving,1.77566E+18,3.605,-20.26292306
Driving,1.77566E+18,3.713,-19.41745167
Driving,1.77566E+18,3.822,-18.64929504
Driving,1.77566E+18,3.93,-19.07001836
Driving,1.77566E+18,4.031,-19.70217783
Driving,1.77566E+18,4.139,-22.20864032
Driving,1.77566E+18,4.248000244,-17.29481403
Driving,1.77566E+18,4.355999756,-19.73039962
Driving,1.77566E+18,4.465,-14.78052185
Driving,1.77566E+18,4.574,-14.3953035
Driving,1.77566E+18,4.675,-15.83633691
Driving,1.77566E+18,4.783,-17.08952779
Driving,1.77566E+18,4.891999756,-17.30647033
Driving,1.77566E+18,5.001,-18.39880919
Driving,1.77566E+18,5.107999756,-18.83737816
Driving,1.77566E+18,5.209,-19.90692706
Driving,1.77566E+18,5.318,-18.51197476
Driving,1.77566E+18,5.426,-19.14416519
Driving,1.77566E+18,5.535,-18.19616918
Driving,1.77566E+18,5.643,-18.77269571
Driving,1.77566E+18,5.752000244,-16.40961358
Driving,1.77566E+18,5.851,-17.38850543
Driving,1.77566E+18,5.960000244,-15.83962018
Driving,1.77566E+18,6.069,-17.88936491
Driving,1.77566E+18,6.177,-18.53657753
Driving,1.77566E+18,6.286,-18.27187783
Driving,1.77566E+18,6.394,-17.15041489
Driving,1.77566E+18,6.503,-19.41249539
Driving,1.77566E+18,6.611999756,-17.54094547
Driving,1.77566E+18,6.720000244,-19.4671707
Driving,1.77566E+18,6.829,-16.88342496
Driving,1.77566E+18,6.937,-18.28492297
Driving,1.77566E+18,7.045,-16.2704694
Driving,1.77566E+18,7.154,-19.86767761
Driving,1.77566E+18,7.262,-17.76961459
Driving,1.77566E+18,7.371,-18.17680744
Driving,1.77566E+18,7.479,-18.42530404
Driving,1.77566E+18,7.587999756,-17.80454312
Driving,1.77566E+18,7.695,-20.20030707
Driving,1.77566E+18,7.805,-17.85202403
Driving,1.77566E+18,7.913,-17.73074233
Driving,1.77566E+18,8.021,-19.18268361
Driving,1.77566E+18,8.123,-18.93062532
Driving,1.77566E+18,8.232000244,-18.66746636
Driving,1.77566E+18,8.331999756,-17.41011946
Driving,1.77566E+18,8.441,-16.75841953
Driving,1.77566E+18,8.542,-16.61900778
Driving,1.77566E+18,8.65,-15.84947744
Driving,1.77566E+18,8.75,-16.85384966
Driving,1.77566E+18,8.859,-19.02725404
