Activity,time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
Driving,1.77566E+18,0.727615479,0.123786286,0.223336965,0.223727271,0.940608203,0.427724272,-0.49629581,-0.151756302
Driving,1.77566E+18,2.820819092,-0.393580377,0.132307023,0.107756414,0.903315008,0.331209183,-0.090653181,0.836969972
Driving,1.77566E+18,4.913992432,-0.410578668,0.146158934,0.078648284,0.896592021,0.332857072,-0.021012913,0.862392008
Driving,1.77566E+18,7.007104736,-0.412771493,0.124530397,0.074368455,0.899211466,0.289516985,-0.030945681,0.865199089
Driving,1.77566E+18,9.099911621,-0.400696844,0.143803462,0.084541269,0.900897026,0.333211988,-0.037091274,0.843239486
Driving,1.77566E+18,11.10422363,-0.388886869,0.135101885,0.076127917,0.908140421,0.309687674,-0.033197079,0.814377546
Driving,1.77566E+18,13.12030933,-0.398211062,0.11510016,0.068028279,0.907497823,0.266357005,-0.031808078,0.831265867
Driving,1.77566E+18,15.21235229,-0.390164256,0.116786599,0.062967978,0.911135435,0.265120536,-0.023614999,0.812334716
Driving,1.77566E+18,17.30497534,-0.395224422,0.124418005,0.06672027,0.907670856,0.282411516,-0.022775987,0.824576259
Driving,1.77566E+18,19.31343164,-0.394180149,0.126422957,0.059867855,0.908325493,0.280540705,-0.009092285,0.820160449
Driving,1.77566E+18,21.44510742,-0.377959728,0.13017647,0.073426209,0.913678944,0.29796052,-0.035780665,0.789837658
Driving,1.77566E+18,23.5366897,-0.354471654,0.141162783,0.070591994,0.921650529,0.315604717,-0.030050419,0.739112198
Driving,1.77566E+18,25.62757056,-0.397181839,0.131165192,0.07518515,0.905201375,0.301903039,-0.031927966,0.831821084
Driving,1.77566E+18,27.71765771,-0.395513773,0.146807805,0.073458336,0.903670549,0.329409242,-0.016636014,0.827879548
Driving,1.77566E+18,29.81061353,-0.397781789,0.151277035,0.072647765,0.902001858,0.337065548,-0.010706548,0.832508624
Driving,1.77566E+18,31.82309937,-0.396661788,0.151218057,0.066026129,0.903013468,0.331523627,0.000719883,0.827660799
Driving,1.77566E+18,33.83551929,-0.402589977,0.146931142,0.06364622,0.901266754,0.321612716,0.003581576,0.839620709
Driving,1.77566E+18,35.88831348,-0.424577057,0.162748337,0.059555098,0.888651013,0.346919388,0.032356672,0.885753512
Driving,1.77566E+18,37.9814209,-0.417737186,0.149958447,0.06361118,0.893846631,0.327045649,0.011569423,0.872463644
