Activity,time,seconds_elapsed,z,y,x
Classroom,1.77566E+18,0.566606689,7.422025204,3.960009575,-2.640804529
Classroom,1.77566E+18,2.659718994,9.627084732,0.639251828,-3.335123062
Classroom,1.77566E+18,4.752983643,6.83784008,0.478840351,-3.531447411
Classroom,1.77566E+18,6.846095947,8.683769226,0.241814375,-2.79163909
Classroom,1.77566E+18,8.939024902,6.564900875,-0.347159237,-3.924096584
Classroom,1.77566E+18,10.94327612,10.88164711,0.244208574,-2.578555346
Classroom,1.77566E+18,12.95948413,9.799467087,0.241814375,-2.41335535
Classroom,1.77566E+18,15.05137451,10.68292809,-0.347159237,-2.755726099
Classroom,1.77566E+18,17.14399731,10.23281765,-0.20590134,-2.683900118
Classroom,1.77566E+18,19.15248413,8.159439087,0.177170932,-3.165134668
Classroom,1.77566E+18,21.16340356,10.18014526,0.440533102,-3.021482468
Classroom,1.77566E+18,23.21473413,8.171410561,0.047884032,-2.564189911
Classroom,1.77566E+18,25.30619482,10.34774017,0.253785372,-2.578555346
Classroom,1.77566E+18,27.39573267,8.370129585,0.426167905,-2.693476915
Classroom,1.77566E+18,29.48862744,9.799467087,-0.248996973,-3.148375273
Classroom,1.77566E+18,31.50108276,10.88882923,-0.134075299,-2.944868088
Classroom,1.77566E+18,33.51350293,8.4012537,-0.04070143,-3.27287364
Classroom,1.77566E+18,35.56629688,10.26873112,-0.064643443,-3.01429987
Classroom,1.77566E+18,37.6594043,9.282320023,0.423773706,-3.440467834
Classroom,1.77566E+18,39.6718606,10.6302557,-0.677559078,-3.325546265
Classroom,1.77566E+18,41.6835791,9.141061783,0.241814375,-2.803610086
Classroom,1.77566E+18,43.75541626,10.78108978,-0.567425787,-2.336740971
Classroom,1.77566E+18,45.84821875,8.331821442,1.053448796,-1.884236693
Classroom,1.77566E+18,47.86089746,12.08832455,-0.29688102,-1.532289028
Classroom,1.77566E+18,49.87347095,10.36210537,-0.263362199,-1.391031146
Classroom,1.77566E+18,51.93029443,10.71644688,0.105344877,-1.357512355
Classroom,1.77566E+18,54.02325,10.18493366,-0.344765037,-1.654393315
Classroom,1.77566E+18,56.11623633,9.543288231,0.016759412,-2.497152328
Classroom,1.77566E+18,58.20891748,9.792284966,0.009576807,-2.552218914
Classroom,1.77566E+18,60.30190356,9.567230225,0.009576807,-2.497152328
Classroom,1.77566E+18,62.39488989,9.591172218,0,-2.48996973
Classroom,1.77566E+18,64.48764941,9.617507935,-0.035913024,-2.463633537
Classroom,1.77566E+18,66.58054297,9.885659218,0,-2.557007313
Classroom,1.77566E+18,68.67358911,10.14902115,-0.019153614,-2.497152328
Classroom,1.77566E+18,70.76660474,9.392453194,0.002394202,-2.456450939
Classroom,1.77566E+18,72.85946753,9.617507935,-0.004788403,-2.499546528
Classroom,1.77566E+18,74.95244849,9.540893555,-0.067037649,-2.470816135
Classroom,1.77566E+18,77.04540161,9.627084732,-0.026336219,-2.533065319
Classroom,1.77566E+18,79.13844653,9.900024414,0.081402861,-2.882618904
Classroom,1.77566E+18,81.23143018,10.13944435,0.287304193,-2.920926094
Classroom,1.77566E+18,83.32420044,10.30464458,0.177170932,-2.202665567
Classroom,1.77566E+18,85.41718408,10.08437729,-0.055066638,-1.455674648
Classroom,1.77566E+18,87.50967822,9.670180321,0.325611442,-3.184288263
Classroom,1.77566E+18,89.60269238,10.65898609,-0.687135875,-0.81642276
Classroom,1.77566E+18,91.69558472,9.557653427,0.090979666,-2.233790159
Classroom,1.77566E+18,93.78850757,9.160215378,0.459686726,-3.27287364
Classroom,1.77566E+18,95.881125,8.7843256,0.660799682,-3.378218651
Classroom,1.77566E+18,97.97389307,8.719682693,1.273715258,-4.067748547
Classroom,1.77566E+18,100.0666921,9.425971985,1.350329757,-3.270479441
Classroom,1.77566E+18,102.1596443,10.699687,2.71502471,-1.944091797
Classroom,1.77566E+18,104.2525352,10.28070164,0.694318473,-2.798821688
