Activity,time,seconds_elapsed,level,frequency,capabilities,BSSID,SSID
Classroom,1.77566E+18,-0.001,-76,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],20:c0:47:28:ff:44,Fios-P5GWR
Classroom,1.77566E+18,-0.001,-82,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],20:c0:47:2f:7a:22,Fios-V57TZ
Classroom,1.77566E+18,-0.001,-87,5785,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2a:7e:80:f3:31:c7,(hidden SSID)
Classroom,1.77566E+18,-0.001,-89,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],14:59:c0:32:0b:38,0af5eb5f5fc3f784db84d7cc1d0972ba
Classroom,1.77566E+18,-0.001,-67,2437,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],d4:b9:2f:0b:2c:f7,(hidden SSID)
Classroom,1.77566E+18,-0.001,-68,2437,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],d4:b9:2f:0b:2c:f4,Dahouse
Classroom,1.77566E+18,-0.001,-81,5260,[ESS],fa:8f:ca:6c:db:fb,(hidden SSID)
Classroom,1.77566E+18,-0.001,-89,2422,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],6c:cd:d6:fc:19:fb,NETGEAR75
Classroom,1.77566E+18,-0.001,-89,2412,[WPA2-PSK-CCMP-128][RSN-PSK+SAE-CCMP-128][ESS][MFPC],94:f7:be:2f:12:ba,TMOBILE-12B8
Classroom,1.77566E+18,-0.001,-80,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],22:48:6c:50:fc:b0,(hidden SSID)
Classroom,1.77566E+18,-0.001,-84,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],34:19:4d:2e:f3:c2,Verizon_KFG7J4
Classroom,1.77566E+18,-0.001,-84,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],b8:82:f2:47:6c:c5,Verizon_PYLS9Y
Classroom,1.77566E+18,-0.001,-68,2437,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][WPA-EAP/SHA1-CCMP-128][ESS],d4:b9:2f:0b:2c:f9,(hidden SSID)
